Speed,wind_power
4.7,673.2
4.4,685.7
5.5,757.5
6.0,842.39999
5.9,880.2
6.3,942.2
6.5,896.89999
7.9,824.5
8.4,831.6
7.2,788.0
8.0,839.5
8.1,1107.3
8.0,1390.59999
7.8,1625.8
6.0,1758.09999
6.2,1930.2
5.9,2129.8
5.3,2469.9
6.1,2651.19999
6.0,2726.0
5.3,2703.69999
4.3,2730.3
3.6,2795.59999
3.7,2853.69999
3.1,2932.69999
2.6,3051.8
2.1,3184.5
1.2,3280.0
0.8,3380.8
1.6,3423.09999
1.3,3440.4
0.9,3391.0
1.3,3348.3
1.3,3410.19999
1.0,3516.09999
1.2,3534.5
1.4,3453.5
1.6,3305.19999
2.0,3216.09999
1.6,3079.59999
2.5,2762.09999
1.3,2582.4
1.7,2461.8
2.3,2388.0
3.1,2311.09999
2.6,2229.9
3.3,2033.0
3.0,1854.59999
3.7,1749.2
4.2,1699.09999
4.2,1767.5
4.4,1787.0
4.1,1877.0
3.9,1902.5
3.1,1661.0
2.2,1370.09999
2.4,1497.0
2.2,1502.09999
2.5,1533.5
1.5,1614.59999
1.4,1792.4
1.0,1963.0
0.5,2031.59999
1.0,2126.3
1.8,2094.3
2.2,2132.69999
1.6,2106.3
2.1,2300.19999
1.7,2315.59999
1.3,2468.8
2.1,2617.59999
1.0,2686.8
1.1,2644.4
0.9,2628.69999
0.9,2470.19999
2.0,2317.19999
2.1,2152.3
2.3,1911.9
2.5,1704.5
2.3,1565.09999
2.6,1278.2
4.0,1171.4
5.3,1032.7
5.1,893.1
5.4,903.0
4.3,996.79999
5.0,1040.09999
5.3,1119.5
4.7,1196.4
3.6,1297.09999
